Age;Gender;Marital Status;Occupation;Monthly Income;Educational Qualifications;Family size;latitude;longitude;Pin code;Medium (P1);Medium (P2);Meal(P1);Meal(P2);Perference(P1);Perference(P2);Ease and convenient;Time saving;More restaurant choices;Easy Payment option;More Offers and Discount;Good Food quality;Good Tracking system;Self Cooking;Health Concern;Late Delivery;Poor Hygiene;Bad past experience;Unavailability;Unaffordable;Long delivery time;Delay of delivery person getting assigned;Delay of delivery person picking up food;Wrong order delivered;Missing item;Order placed by mistake;Influence of time;Order Time;Maximum wait time;Residence in busy location;Google Maps Accuracy;Good Road Condition;Low quantity low time;Delivery person ability;Influence of rating;Less Delivery time;High Quality of package;Number of calls;Politeness;Freshness ;Temperature;Good Taste ;Good Quantity;Output;Reviews
25;Male;Single;Student;No Income;Graduate;1;12.977;775.773;560009;Food delivery apps; Walk-in;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Neutral;Strongly agree;Agree;Strongly agree;Neutral;Agree;Strongly agree;Strongly agree;Strongly disagree;Strongly disagree;Disagree;Neutral;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Neutral;Neutral;Neutral;Yes;Anytime (Mon-Sun);45 minutes;Neutral;Agree;Strongly disagree;Neutral;Agree;Yes;Important;Important;Important;Very Important;Very Important;Very Important;Very Important;Very Important;Yes;NIL
25;Male;Single;Student;No Income;Post Graduate;5;12.977;775.773;560009;Food delivery apps; Walk-in;Lunch; Snacks;Veg foods (Breakfast / Lunch / Dinner); Sweets;Strongly agree;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Agree;Strongly agree;Strongly agree;Disagree;Neutral;Disagree;Strongly agree;Neutral;Neutral;Agree;Neutral;Neutral;Neutral;Yes;Anytime (Mon-Sun);45 minutes;Neutral;Agree;Neutral;Disagree;Agree;Maybe;Important;Very Important;Important;Very Important;Very Important;Important;Very Important;Very Important;No;Now days delivery ?? is improved a lot like fast delivery ,but now corna time many people are hesitating to order 
28;Male;Married;Self Employeed;10001 to 25000;Graduate;2;130.289;77.54;560022;Food delivery apps; Direct call;Breakfast; Dinner;Non Veg foods (Lunch / Dinner); Ice cream / Cool drinks;Disagree;Neutral;Disagree;Disagree;Disagree;Strongly disagree;Neutral;Strongly disagree;Disagree;Neutral;Strongly disagree;Disagree;Disagree;Neutral;Agree;Agree;Neutral;Agree;Neutral;Agree;No;Anytime (Mon-Sun);60 minutes;Agree;Neutral;Neutral;Disagree;Neutral;No;Important;Moderately Important;Slightly Important;Slightly Important;Important;Slightly Important;Important;Slightly Important;No;I hate online deliveries.Had harsh past experiences with delivery boys and the company responses
27;Female;Prefer not to say;Employee;25001 to 50000;Post Graduate;5;130.289;77.54;560022;Food delivery apps; Web browser;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Bakery items (snacks);Agree;Agree;Disagree;Strongly agree;Strongly disagree;Disagree;Strongly agree;Agree;Agree;Agree;Strongly agree;Disagree;Agree;Agree;Agree;Strongly agree;Neutral;Agree;Agree;Neutral;No;Weekdays (Mon-Fri);45 minutes;Agree;Strongly Agree;Agree;Neutral;Agree;No;Slightly Important;Very Important;Slightly Important;Important;Slightly Important;Very Important;Important;Important;No;nil
26;Male;Single;Self Employeed;10001 to 25000;Ph.D;1;129.698;77.75;560066;Food delivery apps; Web browser;Lunch; Snacks;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Disagree;Agree;Neutral;Disagree;Neutral;Agree;Neutral;Agree;Agree;Agree;Agree;Strongly agree;Neutral;Agree;Agree;Neutral;Disagree;Strongly disagree;Yes;Weekend (Sat & Sun);More than 60 minutes;Agree;Agree;Neutral;Neutral;Disagree;Yes;Moderately Important;Important;Important;Important;Important;Very Important;Important;Slightly Important;No;I expect the food that is being delivered to be hot and fresh
22;Male;Single;Student;No Income;Post Graduate;2;12.977;775.773;560009;Food delivery apps; Walk-in;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Strongly agree;Strongly agree;Neutral;Strongly agree;Agree;Strongly agree;Strongly agree;Strongly agree;Agree;Neutral;Agree;Strongly agree;Agree;Neutral;Agree;Strongly agree;Neutral;Agree;Yes;Weekdays (Mon-Fri);15 minutes;Agree;Strongly Agree;Agree;Neutral;Agree;Yes;Very Important;Important;Very Important;Important;Moderately Important;Important;Important;Moderately Important;Yes;I love swiggy and their app user interface
24;Female;Single;Student;No Income;Post Graduate;3;12.977;775.773;560009;Food delivery apps; Walk-in;Breakfast; Lunch;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Agree;Neutral;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Yes;Anytime (Mon-Sun);30 minutes;Strongly Agree;Strongly Agree;Neutral;Strongly disagree;Strongly Agree;Yes;Very Important;Very Important;Very Important;Slightly Important;Very Important;Very Important;Very Important;Very Important;Yes;Nil
23;Male;Single;Student;No Income;Post Graduate;1;129.561;775.921;560027;Walk-in; Direct call;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Neutral;Neutral;Agree;Disagree;Disagree;Neutral;Disagree;Neutral;Strongly agree;Strongly agree;Agree;Strongly agree;Neutral;Disagree;Strongly agree;Agree;Neutral;Neutral;Neutral;Disagree;Yes;Weekend (Sat & Sun);30 minutes;Agree;Disagree;Agree;Disagree;Agree;Yes;Important;Important;Slightly Important;Moderately Important;Important;Moderately Important;Important;Important;Yes;No Comments!
25;Male;Single;Student;No Income;Graduate;1;12.977;775.773;560009;Food delivery apps; Walk-in;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Neutral;Strongly agree;Agree;Strongly agree;Neutral;Agree;Strongly agree;Strongly agree;Strongly disagree;Strongly disagree;Disagree;Neutral;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Neutral;Neutral;Neutral;Yes;Anytime (Mon-Sun);45 minutes;Neutral;Agree;Strongly disagree;Neutral;Agree;Yes;Important;Important;Important;Very Important;Very Important;Very Important;Very Important;Very Important;Yes;NIL
23;Female;Single;Student;No Income;Graduate;5;130.206;776.479;560043;Food delivery apps; Direct call;Lunch; Snacks;Veg foods (Breakfast / Lunch / Dinner); Ice cream / Cool drinks;Strongly agree;Agree;Agree;Neutral;Agree;Neutral;Neutral;Agree;Neutral;Agree;Agree;Neutral;Agree;Disagree;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Yes;Weekdays (Mon-Fri);45 minutes;Neutral;Neutral;Neutral;Neutral;Neutral;Yes;Slightly Important;Moderately Important;Slightly Important;Slightly Important;Important;Important;Important;Important;Yes;Nil
23;Female;Single;Student;No Income;Graduate;5;130.206;776.479;560043;Food delivery apps; Direct call;Lunch; Snacks;Veg foods (Breakfast / Lunch / Dinner); Ice cream / Cool drinks;Strongly agree;Agree;Agree;Neutral;Agree;Neutral;Neutral;Agree;Neutral;Agree;Agree;Neutral;Agree;Disagree;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Yes;Weekdays (Mon-Fri);45 minutes;Neutral;Neutral;Neutral;Neutral;Neutral;Yes;Slightly Important;Moderately Important;Slightly Important;Slightly Important;Important;Important;Important;Important;Yes;Nil
26;Male;Married;Employee;25001 to 50000;Graduate;5;129.579;776.309;560007;Food delivery apps; Direct call;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Strongly agree;Strongly agree;Strongly agree;Neutral;Agree;Strongly agree;Agree;Neutral;Neutral;Neutral;Disagree;Disagree;Agree;Agree;Agree;Neutral;Agree;Neutral;Disagree;No;Weekend (Sat & Sun);60 minutes;Agree;Agree;Neutral;Agree;Agree;No;Important;Important;Moderately Important;Important;Slightly Important;Slightly Important;Slightly Important;Important;No;I expect quality food rather than delivery time and ratings
32;Female;Married;House wife;No Income;Uneducated;3;13.014;775.658;560012;Food delivery apps; Direct call;Dinner; Dinner;Veg foods (Breakfast / Lunch / Dinner); Sweets;Strongly disagree;Disagree;Disagree;Disagree;Disagree;Strongly disagree;Disagree;Strongly agree;Strongly agree;Strongly agree;Strongly disagree;Strongly agree;Disagree;Strongly agree;Agree;Neutral;Agree;Agree;Neutral;Agree;Maybe;Anytime (Mon-Sun);30 minutes;Agree;Neutral;Agree;Agree;Neutral;Yes;Important;Important;Important;Very Important;Important;Very Important;Important;Slightly Important;No;Expect the delivery person to understand our hunger
24;Female;Single;Student;10001 to 25000;Post Graduate;3;129.335;775.691;560028;Food delivery apps; Direct call;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Sweets;Agree;Neutral;Strongly agree;Strongly agree;Strongly agree;Agree;Agree;Strongly agree;Agree;Neutral;Neutral;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Agree;Neutral;Strongly disagree;Yes;Anytime (Mon-Sun);45 minutes;Strongly Agree;Strongly Agree;Strongly Agree;Disagree;Agree;Yes;Very Important;Very Important;Important;Very Important;Very Important;Very Important;Very Important;Very Important;No;Nil
23;Male;Single;Student;No Income;Post Graduate;2;129.442;776.076;560030;Food delivery apps; Walk-in;Breakfast; Dinner;Veg foods (Breakfast / Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Strongly agree;Agree;Strongly agree;Agree;Neutral;Agree;Neutral;Agree;Agree;Agree;Neutral;Agree;Disagree;Strongly agree;Agree;Neutral;Agree;Neutral;Strongly disagree;Yes;Weekend (Sat & Sun);45 minutes;Neutral;Strongly Agree;Strongly Agree;Disagree;Strongly Agree;Yes;Very Important;Very Important;Important;Very Important;Important;Very Important;Very Important;Very Important;Yes;Nil
22;Female;Single;Employee;10001 to 25000;Graduate;3;129.698;77.75;560066;Food delivery apps; Direct call;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Agree;Strongly agree;Neutral;Strongly agree;Agree;Neutral;Neutral;Strongly agree;Agree;Disagree;Disagree;Disagree;Disagree;Agree;Neutral;Neutral;Neutral;Neutral;Strongly disagree;Yes;Weekend (Sat & Sun);45 minutes;Strongly Agree;Agree;Neutral;Disagree;Neutral;Yes;Very Important;Important;Moderately Important;Important;Very Important;Very Important;Important;Important;Yes;NIL
24;Female;Single;Student;No Income;Ph.D;3;129.438;775.738;560004;Food delivery apps; Direct call;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Strongly agree;Strongly agree;Agree;Neutral;Agree;Agree;Strongly disagree;Agree;Strongly agree;Agree;Agree;Neutral;Disagree;Agree;Agree;Strongly agree;Agree;Neutral;Agree;Yes;Anytime (Mon-Sun);30 minutes;Agree;Neutral;Agree;Strongly Agree;Agree;Yes;Important;Very Important;Important;Moderately Important;Important;Moderately Important;Important;Important;Yes;Need more delivery bandwidth even in rural areas
26;Male;Single;Employee;25001 to 50000;Graduate;2;129.261;776.221;560034;Food delivery apps; Walk-in;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Ice cream / Cool drinks;Agree;Neutral;Agree;Disagree;Agree;Agree;Neutral;Strongly disagree;Neutral;Agree;Neutral;Disagree;Agree;Neutral;Neutral;Agree;Neutral;Disagree;Agree;Neutral;Yes;Anytime (Mon-Sun);15 minutes;Agree;Agree;Strongly Agree;Neutral;Agree;No;Important;Important;Moderately Important;Important;Important;Slightly Important;Important;Moderately Important;Yes;Requires professional packaging with no leakage
28;Male;Married;Employee;More than 50000;Graduate;3;129.698;77.75;560066;Food delivery apps; Web browser;Lunch; Dinner;Veg foods (Breakfast / Lunch / Dinner); Sweets;Neutral;Agree;Agree;Agree;Neutral;Agree;Strongly agree;Disagree;Agree;Agree;Neutral;Agree;Disagree;Agree;Agree;Neutral;Strongly agree;Agree;Neutral;Agree;Yes;Anytime (Mon-Sun);45 minutes;Agree;Neutral;Strongly Agree;Strongly Agree;Neutral;Yes;Very Important;Very Important;Very Important;Very Important;Important;Important;Important;Important;No;NIL
26;Male;Single;Employee;More than 50000;Post Graduate;2;129.698;77.75;560066;Food delivery apps; Walk-in;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Strongly agree;Strongly agree;Agree;Disagree;Agree;Strongly agree;Disagree;Strongly agree;Agree;Agree;Agree;Neutral;Agree;Agree;Neutral;Agree;Strongly agree;Agree;Neutral;Yes;Weekend (Sat & Sun);45 minutes;Strongly disagree;Agree;Strongly Agree;Agree;Agree;Yes;Important;Moderately Important;Important;Important;Important;Moderately Important;Very Important;Important;No;Need more delivery people to cover all orders
25;Male;Single;Student;No Income;Post Graduate;1;129.343;776.044;560029;Food delivery apps; Direct call;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Neutral;Agree;Neutral;Strongly agree;Agree;Strongly agree;Strongly agree;Strongly agree;Neutral;Strongly agree;Strongly agree;Strongly agree;Agree;Strongly agree;Neutral;Yes;Weekend (Sat & Sun);30 minutes;Strongly Agree;Neutral;Agree;Neutral;Neutral;Yes;Important;Moderately Important;Important;Moderately Important;Important;Important;Important;Important;Yes;Nil
25;Male;Single;Employee;Below Rs.10000;Graduate;2;129.698;77.75;560066;Food delivery apps; Web browser;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Neutral;Agree;Agree;Neutral;Agree;Agree;Neutral;Agree;Agree;Neutral;Agree;Agree;Agree;Neutral;Agree;Agree;Neutral;Agree;Yes;Anytime (Mon-Sun);30 minutes;Disagree;Neutral;Agree;Agree;Neutral;No;Important;Very Important;Slightly Important;Very Important;Slightly Important;Slightly Important;Important;Important;No;NIL
18;Male;Single;Student;No Income;Graduate;5;129.635;775.821;560002;Food delivery apps; Web browser;Snacks; Dinner;Non Veg foods (Lunch / Dinner); Ice cream / Cool drinks;Agree;Strongly agree;Agree;Neutral;Agree;Strongly agree;Strongly agree;Agree;Neutral;Agree;Disagree;Disagree;Disagree;Neutral;Strongly agree;Neutral;Agree;Strongly disagree;Disagree;Disagree;Yes;Anytime (Mon-Sun);45 minutes;Agree;Agree;Neutral;Agree;Agree;Yes;Important;Moderately Important;Important;Important;Very Important;Important;Moderately Important;Important;Yes;NIL
21;Male;Single;Student;No Income;Post Graduate;4;12.977;775.773;560009;Food delivery apps; Walk-in;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Neutral;Agree;Neutral;Neutral;Neutral;Neutral;Neutral;Agree;Agree;Agree;Disagree;Neutral;Strongly disagree;Yes;Anytime (Mon-Sun);30 minutes;Agree;Agree;Agree;Agree;Strongly Agree;Yes;Moderately Important;Important;Very Important;Very Important;Important;Moderately Important;Very Important;Very Important;Yes;nil 
25;Male;Single;Student;No Income;Post Graduate;1;129.343;776.044;560029;Food delivery apps; Direct call;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Neutral;Agree;Neutral;Strongly agree;Agree;Strongly agree;Strongly agree;Strongly agree;Neutral;Strongly agree;Strongly agree;Strongly agree;Agree;Strongly agree;Neutral;Yes;Weekend (Sat & Sun);30 minutes;Strongly Agree;Neutral;Agree;Neutral;Neutral;Yes;Important;Moderately Important;Important;Moderately Important;Important;Important;Important;Important;Yes;Nil
25;Male;Single;Student;Below Rs.10000;Post Graduate;2;129.925;775.633;560021;Walk-in; Direct call;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Disagree;Agree;Strongly agree;Neutral;Neutral;Agree;Neutral;Agree;Agree;Disagree;Neutral;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Disagree;Disagree;Disagree;Yes;Weekend (Sat & Sun);45 minutes;Strongly disagree;Strongly disagree;Strongly Agree;Strongly disagree;Strongly disagree;Yes;Important;Important;Important;Very Important;Very Important;Very Important;Very Important;Very Important;Yes;No
23;Female;Single;Student;No Income;Graduate;5;130.206;776.479;560043;Food delivery apps; Direct call;Lunch; Snacks;Veg foods (Breakfast / Lunch / Dinner); Ice cream / Cool drinks;Strongly agree;Agree;Agree;Neutral;Agree;Neutral;Neutral;Agree;Neutral;Agree;Agree;Neutral;Agree;Disagree;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Yes;Weekdays (Mon-Fri);45 minutes;Neutral;Neutral;Neutral;Neutral;Neutral;Yes;Slightly Important;Moderately Important;Slightly Important;Slightly Important;Important;Important;Important;Important;Yes;Nil
23;Male;Single;Employee;10001 to 25000;Post Graduate;2;12.985;775.533;560010;Food delivery apps; Direct call;Lunch; Dinner;Veg foods (Breakfast / Lunch / Dinner); Sweets;Agree;Agree;Neutral;Agree;Agree;Neutral;Disagree;Agree;Neutral;Disagree;Neutral;Disagree;Agree;Agree;Agree;Agree;Disagree;Neutral;Agree;Agree;Yes;Anytime (Mon-Sun);30 minutes;Agree;Neutral;Agree;Agree;Neutral;Yes;Very Important;Very Important;Very Important;Very Important;Moderately Important;Important;Very Important;Slightly Important;Yes;Want different cuisine dishes options in my location
25;Female;Married;Employee;25001 to 50000;Graduate;4;129.551;776.593;560017;Food delivery apps; Direct call;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Ice cream / Cool drinks;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Neutral;Strongly disagree;Agree;Agree;Strongly agree;Strongly agree;Neutral;Agree;Strongly agree;Agree;Neutral;Agree;Agree;Strongly agree;Agree;Maybe;Anytime (Mon-Sun);15 minutes;Agree;Strongly Agree;Agree;Neutral;Agree;Yes;Very Important;Very Important;Very Important;Very Important;Important;Important;Moderately Important;Important;No;I had bad experience with delivery person. They need to be polite
31;Female;Married;House wife;No Income;School;5;130.289;77.54;560022;Food delivery apps; Web browser;Breakfast; Snacks;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Neutral;Agree;Strongly agree;Agree;Strongly agree;Agree;Agree;Agree;Disagree;Disagree;Disagree;Strongly disagree;Strongly disagree;Agree;Agree;Neutral;Agree;Neutral;Agree;Yes;Anytime (Mon-Sun);45 minutes;Agree;Neutral;Agree;Disagree;Agree;Yes;Important;Very Important;Very Important;Very Important;Slightly Important;Moderately Important;Important;Very Important;Yes;I'm happy with the service of online delivery startups
24;Male;Prefer not to say;Self Employeed;More than 50000;Ph.D;2;130.138;775.877;560006;Food delivery apps; Direct call;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Disagree;Disagree;Disagree;Strongly disagree;Disagree;Strongly disagree;Disagree;Agree;Agree;Strongly agree;Strongly agree;Strongly agree;Agree;Strongly agree;Agree;Strongly agree;Agree;Strongly agree;Strongly agree;Agree;Yes;Anytime (Mon-Sun);15 minutes;Disagree;Strongly disagree;Strongly disagree;Agree;Agree;Yes;Very Important;Very Important;Very Important;Very Important;Important;Moderately Important;Moderately Important;Slightly Important;No;I need the order to be delivered fast to my location
32;Female;Married;Employee;25001 to 50000;Graduate;5;129.261;776.221;560034;Food delivery apps; Web browser;Breakfast; Lunch;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Agree;Strongly agree;Strongly agree;Agree;Agree;Strongly agree;Agree;Disagree;Neutral;Neutral;Disagree;Disagree;Strongly disagree;Disagree;Agree;Agree;Disagree;Disagree;Disagree;Yes;Anytime (Mon-Sun);60 minutes;Agree;Agree;Agree;Agree;Disagree;Yes;Important;Moderately Important;Important;Moderately Important;Moderately Important;Moderately Important;Very Important;Very Important;Yes;I'm satisfied with the service of swiggy
25;Male;Single;Employee;25001 to 50000;Graduate;3;129.766;775.993;560001;Food delivery apps; Direct call;Breakfast; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Strongly agree;Agree;Strongly agree;Neutral;Agree;Strongly agree;Disagree;Disagree;Agree;Disagree;Neutral;Disagree;Disagree;Disagree;Agree;Agree;Disagree;Disagree;Strongly disagree;Yes;Anytime (Mon-Sun);45 minutes;Agree;Strongly Agree;Strongly Agree;Neutral;Agree;Yes;Very Important;Very Important;Important;Moderately Important;Slightly Important;Moderately Important;Important;Very Important;Yes;I'm satisfied with zomato, I'm also a premium member
27;Female;Married;Self Employeed;More than 50000;Graduate;5;129.766;775.993;560001;Food delivery apps; Walk-in;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Disagree;Disagree;Agree;Agree;Disagree;Agree;Neutral;Agree;Strongly agree;Agree;Strongly agree;Neutral;Agree;Disagree;Agree;Agree;Agree;Disagree;Disagree;Strongly disagree;Yes;Anytime (Mon-Sun);30 minutes;Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Yes;Very Important;Important;Very Important;Very Important;Important;Important;Important;Important;No;Freshness is important but when it is packed by the usual package, I feel it's losing it is freshness and quality
26;Male;Single;Self Employeed;25001 to 50000;Graduate;3;129.766;775.993;560001;Food delivery apps; Web browser;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Disagree;Disagree;Agree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Disagree;Agree;Disagree;Disagree;Disagree;No;Weekdays (Mon-Fri);More than 60 minutes;Agree;Agree;Strongly Agree;Agree;Strongly Agree;No;Important;Important;Slightly Important;Slightly Important;Important;Important;Important;Important;Yes;I have no problem with the delivery service. I'm satisfied
26;Female;Single;Self Employeed;25001 to 50000;Post Graduate;3;129.635;775.821;560002;Food delivery apps; Web browser;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Strongly agree;Agree;Agree;Agree;Strongly agree;Strongly agree;Disagree;Disagree;Disagree;Disagree;Disagree;Strongly disagree;Strongly disagree;Disagree;Disagree;Strongly disagree;Strongly disagree;Neutral;Disagree;Yes;Anytime (Mon-Sun);30 minutes;Agree;Agree;Neutral;Agree;Agree;Yes;Very Important;Very Important;Very Important;Very Important;Important;Important;Important;Important;Yes;I love ordering from online as they have more varieties and discounts
32;Male;Married;Employee;More than 50000;Ph.D;5;129.635;775.821;560002;Food delivery apps; Web browser;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Strongly agree;Agree;Strongly agree;Agree;Neutral;Agree;Strongly agree;Agree;Strongly agree;Disagree;Disagree;Disagree;Disagree;Disagree;Strongly disagree;Disagree;Strongly disagree;Disagree;Yes;Anytime (Mon-Sun);45 minutes;Agree;Strongly Agree;Agree;Agree;Agree;Yes;Very Important;Important;Moderately Important;Important;Important;Moderately Important;Very Important;Very Important;Yes;Online delivery requires much hygiene consciousness now than ever before   
24;Male;Married;Self Employeed;More than 50000;Ph.D;6;129.635;775.821;560002;Food delivery apps; Direct call;Dinner; Dinner;Veg foods (Breakfast / Lunch / Dinner); Sweets;Disagree;Disagree;Disagree;Disagree;Strongly disagree;Disagree;Strongly disagree;Agree;Strongly agree;Strongly agree;Strongly agree;Agree;Strongly agree;Strongly agree;Agree;Strongly agree;Strongly agree;Strongly agree;Agree;Strongly agree;Yes;Anytime (Mon-Sun);30 minutes;Disagree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Yes;Important;Very Important;Very Important;Very Important;Very Important;Very Important;Very Important;Very Important;No;I had bad experiences with delivery person, they need to be polite when asking for location and avoid asking us to come to a particular location to get the food
27;Female;Married;Self Employeed;25001 to 50000;Graduate;3;129.635;775.821;560002;Food delivery apps; Web browser;Breakfast; Lunch;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Strongly agree;Strongly agree;Strongly agree;Agree;Strongly agree;Strongly agree;Disagree;Disagree;Agree;Disagree;Disagree;Strongly disagree;Strongly disagree;Agree;Strongly agree;Agree;Neutral;Strongly disagree;Strongly disagree;Yes;Anytime (Mon-Sun);30 minutes;Agree;Strongly Agree;Agree;Strongly Agree;Agree;Yes;Important;Very Important;Very Important;Very Important;Slightly Important;Moderately Important;Important;Very Important;Yes;I'm satisfied with the delivery service
23;Male;Single;Student;No Income;Post Graduate;3;12.977;775.773;560009;Food delivery apps; Direct call;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Agree;Agree;Neutral;Neutral;Agree;Agree;Agree;Agree;Neutral;Neutral;Agree;Neutral;Neutral;Agree;Agree;Agree;Strongly agree;Neutral;Yes;Weekend (Sat & Sun);30 minutes;Disagree;Agree;Agree;Agree;Agree;No;Important;Important;Moderately Important;Very Important;Very Important;Important;Important;Important;Yes;NIL
25;Male;Single;Student;No Income;Post Graduate;4;12.977;775.773;560009;Food delivery apps; Direct call;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Ice cream / Cool drinks;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Disagree;Disagree;Agree;Disagree;Disagree;Agree;Agree;Agree;Strongly agree;Agree;Agree;Agree;Strongly agree;Yes;Anytime (Mon-Sun);30 minutes;Strongly Agree;Agree;Agree;Disagree;Strongly Agree;Yes;Very Important;Very Important;Important;Very Important;Very Important;Important;Very Important;Very Important;Yes;None
23;Male;Single;Student;No Income;Post Graduate;3;12.977;775.773;560009;Food delivery apps; Direct call;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Agree;Agree;Neutral;Neutral;Agree;Agree;Agree;Agree;Neutral;Neutral;Agree;Neutral;Neutral;Agree;Agree;Agree;Strongly agree;Neutral;Yes;Weekend (Sat & Sun);30 minutes;Disagree;Agree;Agree;Agree;Agree;No;Important;Important;Moderately Important;Very Important;Very Important;Important;Important;Important;Yes;NIL
23;Female;Single;Student;No Income;Post Graduate;4;130.487;775.923;560024;Food delivery apps; Direct call;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Strongly agree;Strongly agree;Neutral;Neutral;Strongly agree;Strongly agree;Neutral;Disagree;Neutral;Strongly agree;Agree;Neutral;Disagree;Agree;Agree;Agree;Strongly agree;Agree;Neutral;Yes;Weekend (Sat & Sun);45 minutes;Neutral;Neutral;Neutral;Neutral;Neutral;Yes;Important;Important;Moderately Important;Moderately Important;Very Important;Very Important;Very Important;Very Important;Yes;Nil
28;Male;Married;Employee;More than 50000;Post Graduate;3;130.019;775.713;560003;Food delivery apps; Direct call;Snacks; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Strongly agree;Agree;Strongly agree;Strongly agree;Agree;Strongly agree;Strongly disagree;Disagree;Agree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Agree;Disagree;Disagree;Disagree;No;Anytime (Mon-Sun);60 minutes;Agree;Strongly Agree;Strongly Agree;Agree;Agree;No;Important;Important;Slightly Important;Important;Important;Very Important;Important;Very Important;Yes;I'm satisfied with the current service of swiggy and zomato
